sales_person,country,product,date,amount,boxes_shipped
Andria Kimpton,UK,50% Dark Bites,,2653.00,314
Kelci Walkden,New Zealand,After Nines,2022-07-07,147.00,72
Camilla Castle,Australia,85% Dark Bars,,3654.00,14
Karlen McCaffrey,India,Manuka Honey Choco,2022-04-07,2443.00,581
Kelci Walkden,USA,After Nines,2022-02-06,938.00,16
Karlen McCaffrey,USA,Raspberry Choco,,14749.00,354
Mallorie Waber,Canada,Choco Coated Almonds,2022-11-07,4781.00,241
Andria Kimpton,India,Spicy Special Slims,,6307.00,142
Madelene Upcott,Canada,Almond Choco,,7602.00,102
Kaine Padly,USA,Peanut Butter Cubes,,6790.00,188
Van Tuxwell,USA,50% Dark Bites,,9737.00,160
Curtice Advani,Australia,Milk Bars,,6979.00,18
Roddy Speechley,India,Eclairs,2022-10-06,4382.00,303
Curtice Advani,India,Fruit & Nut Bars,2022-07-07,5243.00,176
Curtice Advani,Canada,Almond Choco,,4865.00,70
Brien Boise,Australia,Fruit & Nut Bars,2022-06-06,8575.00,23
Dotty Strutley,Australia,Drinking Coco,,91.00,135
Beverie Moffet,USA,Raspberry Choco,,14798.00,83
Marney O'Breen,India,85% Dark Bars,,2205.00,179
Jehu Rudeforth,Canada,Drinking Coco,,441.00,24
Ches Bonnell,New Zealand,Spicy Special Slims,,3556.00,18
Brien Boise,Canada,99% Dark & Pure,,16793.00,416
Barr Faughny,Australia,Fruit & Nut Bars,,15421.00,55
Andria Kimpton,Australia,50% Dark Bites,2022-02-06,4438.00,227
Andria Kimpton,Australia,Drinking Coco,,1603.00,48
Marney O'Breen,Australia,Organic Choco Syrup,,273.00,174
Kelci Walkden,Canada,Baker's Choco Chips,,3073.00,302
Karlen McCaffrey,India,Almond Choco,2022-06-07,6090.00,149
Oby Sorrel,India,99% Dark & Pure,,10255.00,11
Wilone O'Kielt,Australia,Caramel Stuffed Bars,,2030.00,11
Van Tuxwell,Australia,Organic Choco Syrup,2022-10-08,19453.00,14
Camilla Castle,India,50% Dark Bites,2022-04-07,9275.00,411
Oby Sorrel,India,Organic Choco Syrup,2022-08-07,6181.00,56
Jan Morforth,USA,Peanut Butter Cubes,,9037.00,102
Gigi Bohling,USA,Choco Coated Almonds,2022-02-03,12313.00,103
Gigi Bohling,UK,Almond Choco,2022-10-01,5642.00,9
Jehu Rudeforth,New Zealand,White Choc,2022-11-03,2800.00,241
Andria Kimpton,New Zealand,Peanut Butter Cubes,,959.00,265
Van Tuxwell,UK,Organic Choco Syrup,,2002.00,214
Roddy Speechley,Canada,Milk Bars,,609.00,32
Camilla Castle,USA,Spicy Special Slims,2022-11-02,1274.00,244
Marney O'Breen,USA,Orange Choco,,7595.00,181
Van Tuxwell,UK,99% Dark & Pure,,4725.00,137
Camilla Castle,USA,White Choc,,9681.00,24
Andria Kimpton,USA,Raspberry Choco,,14504.00,21
Dotty Strutley,Australia,Fruit & Nut Bars,,280.00,311
Brien Boise,New Zealand,Mint Chip Choco,2022-01-08,63.00,181
Roddy Speechley,New Zealand,After Nines,,8001.00,10
Roddy Speechley,Canada,Organic Choco Syrup,2022-10-01,4032.00,82
Dennison Crosswaite,Australia,70% Dark Bites,2022-07-02,5859.00,108
Karlen McCaffrey,USA,Orange Choco,2022-12-05,11095.00,401
Madelene Upcott,Australia,Spicy Special Slims,2022-07-03,7182.00,408
Dennison Crosswaite,Australia,85% Dark Bars,2022-05-04,6881.00,420
Andria Kimpton,Canada,Caramel Stuffed Bars,2022-03-01,7154.00,348
Dennison Crosswaite,UK,Eclairs,,6188.00,270
Madelene Upcott,India,Raspberry Choco,2022-07-07,4221.00,9
Van Tuxwell,USA,After Nines,,630.00,264
Wilone O'Kielt,Australia,Organic Choco Syrup,2022-07-07,1743.00,111
Karlen McCaffrey,Canada,50% Dark Bites,,2919.00,65
Roddy Speechley,New Zealand,Orange Choco,2022-01-04,49.00,97
Beverie Moffet,Australia,Eclairs,,1827.00,6
Kelci Walkden,UK,Fruit & Nut Bars,,13006.00,482
Marney O'Breen,USA,50% Dark Bites,,1064.00,106
Husein Augar,USA,After Nines,2022-08-04,11571.00,180
Dennison Crosswaite,Australia,Raspberry Choco,,5740.00,31
Andria Kimpton,USA,Fruit & Nut Bars,,1456.00,359
Kelci Walkden,India,Eclairs,,5334.00,80
Marney O'Breen,USA,99% Dark & Pure,,4151.00,296
Brien Boise,Canada,Spicy Special Slims,2022-04-03,8106.00,101
Karlen McCaffrey,New Zealand,70% Dark Bites,2022-02-08,126.00,40
Husein Augar,UK,Spicy Special Slims,,4697.00,42
Marney O'Breen,USA,Almond Choco,,7798.00,167
Kelci Walkden,India,Orange Choco,2022-07-06,9408.00,138
Jan Morforth,India,Spicy Special Slims,2022-12-04,1939.00,520
Ches Bonnell,India,Spicy Special Slims,2022-06-07,10906.00,94
Kelci Walkden,UK,Smooth Sliky Salty,,5929.00,175
Madelene Upcott,Australia,Fruit & Nut Bars,2022-05-01,5579.00,92
Madelene Upcott,Canada,70% Dark Bites,,10927.00,141
Wilone O'Kielt,Australia,Drinking Coco,2022-06-04,623.00,283
Gunar Cockshoot,Australia,Fruit & Nut Bars,,6013.00,21
Gigi Bohling,Canada,Baker's Choco Chips,,1505.00,47
Kelci Walkden,India,Caramel Stuffed Bars,,476.00,125
Rafaelita Blaksland,Australia,Drinking Coco,,11550.00,396
Kelci Walkden,USA,Manuka Honey Choco,,17318.00,87
Jehu Rudeforth,Canada,Spicy Special Slims,,1848.00,27
Kelci Walkden,Australia,Eclairs,,7273.00,547
Curtice Advani,Canada,Spicy Special Slims,,854.00,118
Oby Sorrel,India,Raspberry Choco,,6832.00,46
Kelci Walkden,UK,Eclairs,,4606.00,57
Jan Morforth,India,Almond Choco,2022-11-03,4466.00,22
Dotty Strutley,UK,Almond Choco,,16114.00,96
Marney O'Breen,New Zealand,After Nines,2022-09-03,1561.00,44
Husein Augar,Australia,Orange Choco,,8897.00,188
Marney O'Breen,Australia,Milk Bars,,2464.00,387
Kelci Walkden,Canada,99% Dark & Pure,,4830.00,50
Kaine Padly,Australia,Manuka Honey Choco,2022-12-01,2765.00,264
Beverie Moffet,New Zealand,White Choc,,7126.00,7
Van Tuxwell,UK,Milk Bars,,4263.00,90
Oby Sorrel,Canada,99% Dark & Pure,2022-01-08,3605.00,403
Van Tuxwell,India,Organic Choco Syrup,,19929.00,174
Roddy Speechley,India,Smooth Sliky Salty,2022-10-08,5103.00,140
Jan Morforth,India,Eclairs,2022-05-01,2541.00,27
Ches Bonnell,UK,Smooth Sliky Salty,2022-11-07,5663.00,110
Wilone O'Kielt,USA,After Nines,,392.00,30
Gigi Bohling,New Zealand,Fruit & Nut Bars,2022-04-04,10976.00,121
Barr Faughny,USA,Raspberry Choco,2022-12-04,9282.00,101
Wilone O'Kielt,New Zealand,85% Dark Bars,2022-02-08,1827.00,117
Gigi Bohling,New Zealand,Manuka Honey Choco,,8267.00,272
Ches Bonnell,Australia,Eclairs,2022-05-07,4116.00,128
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,2022-07-06,2093.00,45
Brien Boise,New Zealand,Smooth Sliky Salty,,1015.00,27
Brien Boise,Australia,Baker's Choco Chips,2022-04-01,12516.00,212
Dennison Crosswaite,Australia,99% Dark & Pure,,2758.00,18
Kelci Walkden,India,Almond Choco,,3297.00,149
Camilla Castle,Australia,70% Dark Bites,,6048.00,477
Oby Sorrel,India,Smooth Sliky Salty,2022-07-02,10101.00,108
Kaine Padly,UK,Organic Choco Syrup,,2282.00,178
Marney O'Breen,India,Caramel Stuffed Bars,,4361.00,81
Karlen McCaffrey,UK,Eclairs,,7798.00,196
Van Tuxwell,India,Baker's Choco Chips,,3052.00,447
Gigi Bohling,UK,After Nines,,8029.00,175
Curtice Advani,Australia,Orange Choco,2022-12-07,854.00,136
Jehu Rudeforth,Canada,Smooth Sliky Salty,2022-11-07,5460.00,138
Karlen McCaffrey,Canada,Smooth Sliky Salty,,3017.00,184
Andria Kimpton,USA,85% Dark Bars,2022-05-04,8911.00,82
Jehu Rudeforth,Canada,Milk Bars,,7203.00,12
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,,13083.00,14
Mallorie Waber,Australia,Milk Bars,,2779.00,104
Barr Faughny,USA,Fruit & Nut Bars,,9058.00,46
Marney O'Breen,UK,Caramel Stuffed Bars,,3549.00,112
Mallorie Waber,New Zealand,Manuka Honey Choco,,9436.00,11
Roddy Speechley,India,Peanut Butter Cubes,2022-11-02,10283.00,21
Roddy Speechley,New Zealand,Milk Bars,2022-02-03,5446.00,116
Ches Bonnell,Australia,White Choc,2022-02-03,1043.00,202
Van Tuxwell,USA,99% Dark & Pure,,12586.00,6
Kelci Walkden,India,After Nines,2022-07-01,1687.00,520
Brien Boise,UK,White Choc,2022-12-04,5299.00,167
Van Tuxwell,Canada,Almond Choco,,3213.00,72
Jehu Rudeforth,Australia,50% Dark Bites,,5194.00,418
Karlen McCaffrey,UK,Baker's Choco Chips,2022-07-02,4753.00,389
Jehu Rudeforth,Australia,Orange Choco,,13706.00,26
Marney O'Breen,India,Peanut Butter Cubes,2022-10-01,6489.00,146
Oby Sorrel,UK,Choco Coated Almonds,,9324.00,41
Gigi Bohling,USA,Spicy Special Slims,,10829.00,54
Barr Faughny,Australia,White Choc,2022-04-07,8113.00,370
Kaine Padly,Canada,Peanut Butter Cubes,2022-04-07,3269.00,176
Dotty Strutley,USA,Manuka Honey Choco,2022-10-08,273.00,210
Dennison Crosswaite,Australia,50% Dark Bites,2022-01-04,7287.00,12
Gigi Bohling,India,Raspberry Choco,,2583.00,159
Camilla Castle,UK,White Choc,2022-03-01,9982.00,187
Karlen McCaffrey,India,Drinking Coco,,4795.00,233
Dotty Strutley,UK,99% Dark & Pure,2022-03-01,9310.00,282
Husein Augar,New Zealand,Caramel Stuffed Bars,,497.00,475
Barr Faughny,UK,50% Dark Bites,,581.00,65
Curtice Advani,Australia,Organic Choco Syrup,,3472.00,311
Husein Augar,UK,Choco Coated Almonds,2022-02-03,4333.00,43
Wilone O'Kielt,Australia,After Nines,,3325.00,26
Dennison Crosswaite,USA,Almond Choco,,11718.00,84
Barr Faughny,Canada,Peanut Butter Cubes,2022-07-06,2100.00,78
Kaine Padly,USA,70% Dark Bites,2022-12-05,4018.00,100
Barr Faughny,New Zealand,Raspberry Choco,,6468.00,66
Dennison Crosswaite,UK,White Choc,2022-03-08,7238.00,265
Barr Faughny,India,Baker's Choco Chips,,6454.00,141
Van Tuxwell,New Zealand,Smooth Sliky Salty,,3115.00,42
Beverie Moffet,UK,White Choc,,6475.00,76
Camilla Castle,New Zealand,Mint Chip Choco,,1162.00,190
Ches Bonnell,UK,Orange Choco,,14238.00,54
Jan Morforth,Australia,White Choc,,3472.00,32
Mallorie Waber,Canada,85% Dark Bars,,1428.00,424
Rafaelita Blaksland,India,Spicy Special Slims,2022-04-01,8064.00,134
Ches Bonnell,Australia,Mint Chip Choco,,9660.00,92
Karlen McCaffrey,Australia,White Choc,2022-05-01,7357.00,48
Beverie Moffet,India,Drinking Coco,,6055.00,46
Brien Boise,Australia,Choco Coated Almonds,,5124.00,62
Karlen McCaffrey,Canada,Eclairs,,3479.00,358
Gigi Bohling,USA,99% Dark & Pure,2022-02-06,784.00,249
Marney O'Breen,UK,Smooth Sliky Salty,,18991.00,88
Beverie Moffet,New Zealand,Baker's Choco Chips,2022-03-08,1372.00,144
Beverie Moffet,Australia,Milk Bars,,735.00,390
Van Tuxwell,UK,Raspberry Choco,,6538.00,79
Jan Morforth,Australia,Orange Choco,2022-04-07,3199.00,122
Jehu Rudeforth,India,50% Dark Bites,2022-05-07,3472.00,135
Madelene Upcott,USA,After Nines,,4571.00,430
Barr Faughny,UK,Raspberry Choco,,5481.00,69
Ches Bonnell,Australia,70% Dark Bites,2022-12-01,3136.00,125
Marney O'Breen,UK,Baker's Choco Chips,2022-10-06,252.00,154
Kaine Padly,Australia,Peanut Butter Cubes,,5460.00,286
Rafaelita Blaksland,India,Almond Choco,,3395.00,99
Husein Augar,UK,Caramel Stuffed Bars,,14938.00,433
Roddy Speechley,India,Orange Choco,,4053.00,19
Jehu Rudeforth,UK,70% Dark Bites,,5565.00,258
Husein Augar,Australia,Manuka Honey Choco,,7161.00,92
Madelene Upcott,USA,Eclairs,,8883.00,200
Brien Boise,India,Eclairs,,1351.00,61
Mallorie Waber,New Zealand,White Choc,,3171.00,246
Husein Augar,USA,Milk Bars,2022-02-03,854.00,56
Van Tuxwell,Australia,Milk Bars,,7910.00,87
Beverie Moffet,Canada,White Choc,,9275.00,173
Dotty Strutley,Australia,50% Dark Bites,2022-12-05,3108.00,252
Mallorie Waber,New Zealand,Organic Choco Syrup,2022-01-07,5075.00,256
Husein Augar,USA,85% Dark Bars,2022-08-08,378.00,54
Madelene Upcott,Australia,50% Dark Bites,,7350.00,6
Wilone O'Kielt,UK,Drinking Coco,,3388.00,55
Camilla Castle,India,Peanut Butter Cubes,,11837.00,277
Curtice Advani,India,70% Dark Bites,2022-05-07,2282.00,44
Mallorie Waber,USA,Manuka Honey Choco,2022-04-07,5425.00,96
Dotty Strutley,UK,70% Dark Bites,,1267.00,216
Gunar Cockshoot,Australia,Almond Choco,,3752.00,424
Kaine Padly,New Zealand,Spicy Special Slims,2022-01-07,7728.00,37
Gigi Bohling,USA,50% Dark Bites,,2296.00,59
Beverie Moffet,UK,Smooth Sliky Salty,2022-04-05,4403.00,76
Beverie Moffet,Australia,Baker's Choco Chips,2022-04-08,3192.00,109
Beverie Moffet,India,70% Dark Bites,2022-01-06,448.00,146
Jehu Rudeforth,UK,Choco Coated Almonds,,4270.00,185
Kaine Padly,USA,50% Dark Bites,2022-03-08,70.00,27
Ches Bonnell,USA,Orange Choco,2022-10-06,1743.00,69
Gunar Cockshoot,UK,Manuka Honey Choco,,6762.00,46
Marney O'Breen,Australia,Smooth Sliky Salty,2022-03-01,3745.00,170
Marney O'Breen,India,After Nines,2022-11-07,2639.00,179
Ches Bonnell,New Zealand,Milk Bars,,4389.00,126
Rafaelita Blaksland,USA,Fruit & Nut Bars,,2604.00,65
Ches Bonnell,India,Organic Choco Syrup,2022-08-03,16569.00,99
Mallorie Waber,Australia,Orange Choco,2022-07-03,14658.00,275
Husein Augar,India,70% Dark Bites,2022-09-05,6454.00,157
Barr Faughny,New Zealand,85% Dark Bars,,2100.00,157
Madelene Upcott,UK,Caramel Stuffed Bars,,161.00,145
Gigi Bohling,Australia,Drinking Coco,,2807.00,139
Marney O'Breen,Canada,Choco Coated Almonds,,2639.00,406
Ches Bonnell,USA,70% Dark Bites,2022-11-05,4571.00,122
Madelene Upcott,India,Organic Choco Syrup,,4781.00,38
Barr Faughny,USA,50% Dark Bites,,13034.00,117
Dennison Crosswaite,New Zealand,Mint Chip Choco,2022-05-04,6454.00,417
Marney O'Breen,New Zealand,Smooth Sliky Salty,,8484.00,57
Brien Boise,Canada,Almond Choco,,4781.00,125
Beverie Moffet,Australia,White Choc,,2240.00,166
Dotty Strutley,Australia,Eclairs,,6979.00,3
Barr Faughny,UK,White Choc,2022-05-07,1652.00,72
Beverie Moffet,Canada,Baker's Choco Chips,2022-11-01,13447.00,95
Kelci Walkden,USA,White Choc,2022-07-03,9422.00,22
Kaine Padly,Canada,50% Dark Bites,2022-04-03,8687.00,100
Karlen McCaffrey,Canada,Organic Choco Syrup,,2415.00,312
Kaine Padly,UK,Peanut Butter Cubes,2022-11-05,6272.00,86
Karlen McCaffrey,USA,Milk Bars,,4389.00,7
Karlen McCaffrey,India,Orange Choco,,3122.00,149
Ches Bonnell,India,Smooth Sliky Salty,2022-03-08,8043.00,18
Wilone O'Kielt,New Zealand,Mint Chip Choco,,11662.00,242
Wilone O'Kielt,Australia,Fruit & Nut Bars,,392.00,102
Dennison Crosswaite,UK,Peanut Butter Cubes,2022-07-02,8925.00,158
Karlen McCaffrey,Australia,Almond Choco,2022-08-07,7294.00,128
Dennison Crosswaite,India,Milk Bars,,1526.00,96
Ches Bonnell,UK,Mint Chip Choco,2022-08-04,2688.00,209
Husein Augar,Australia,50% Dark Bites,,14889.00,52
Jan Morforth,India,Fruit & Nut Bars,2022-04-05,2912.00,55
Mallorie Waber,USA,85% Dark Bars,2022-11-05,2632.00,108
Mallorie Waber,USA,Eclairs,,6328.00,51
Dennison Crosswaite,Canada,Spicy Special Slims,2022-10-08,2527.00,216
Dennison Crosswaite,USA,Fruit & Nut Bars,2022-04-05,1414.00,318
Kelci Walkden,USA,99% Dark & Pure,,7714.00,238
Dotty Strutley,Canada,Raspberry Choco,2022-03-08,4347.00,238
Marney O'Breen,New Zealand,Milk Bars,,7490.00,315
Madelene Upcott,Australia,Choco Coated Almonds,2022-08-04,2058.00,72
Kelci Walkden,UK,Orange Choco,2022-01-08,3640.00,3
Dennison Crosswaite,Canada,Eclairs,,455.00,45
Karlen McCaffrey,India,Mint Chip Choco,,10990.00,184
Barr Faughny,New Zealand,Almond Choco,,5558.00,127
Mallorie Waber,Australia,85% Dark Bars,,2541.00,53
Ches Bonnell,Canada,Eclairs,2022-10-01,1876.00,172
Gigi Bohling,Australia,White Choc,2022-11-05,5523.00,87
Beverie Moffet,New Zealand,85% Dark Bars,,11200.00,22
Kaine Padly,USA,Caramel Stuffed Bars,,5593.00,122
Mallorie Waber,Australia,Almond Choco,2022-01-08,7882.00,125
Brien Boise,Canada,85% Dark Bars,,10241.00,259
Brien Boise,Australia,Drinking Coco,,6832.00,156
Dotty Strutley,USA,Orange Choco,,1379.00,107
Rafaelita Blaksland,Australia,50% Dark Bites,,3010.00,40
Dennison Crosswaite,India,99% Dark & Pure,,6888.00,311
Curtice Advani,UK,White Choc,2022-01-02,1540.00,73
Kelci Walkden,Australia,After Nines,2022-02-03,6916.00,288
Gigi Bohling,UK,Fruit & Nut Bars,2022-06-04,1232.00,86
Gunar Cockshoot,Australia,Raspberry Choco,,602.00,72
Curtice Advani,UK,Fruit & Nut Bars,,10927.00,136
Barr Faughny,Canada,50% Dark Bites,,10185.00,303
Curtice Advani,USA,Spicy Special Slims,2022-11-07,1603.00,264
Brien Boise,India,Almond Choco,,2170.00,218
Oby Sorrel,New Zealand,Smooth Sliky Salty,2022-07-07,8673.00,60
Jan Morforth,India,85% Dark Bars,,4760.00,418
Marney O'Breen,India,Fruit & Nut Bars,,4753.00,151
Andria Kimpton,New Zealand,50% Dark Bites,2022-02-03,3374.00,202
Gunar Cockshoot,Canada,Raspberry Choco,,2058.00,126
Kelci Walkden,USA,Drinking Coco,,6454.00,160
Van Tuxwell,Canada,White Choc,,420.00,3
Rafaelita Blaksland,USA,Baker's Choco Chips,2022-09-06,2863.00,58
Van Tuxwell,Australia,Caramel Stuffed Bars,,5936.00,59
Ches Bonnell,New Zealand,Peanut Butter Cubes,2022-04-03,889.00,273
Kelci Walkden,Canada,Milk Bars,2022-07-07,16016.00,28
Dennison Crosswaite,Canada,Choco Coated Almonds,,10479.00,118
Curtice Advani,Australia,Almond Choco,,2912.00,75
Madelene Upcott,Australia,85% Dark Bars,,1575.00,329
Gigi Bohling,UK,50% Dark Bites,,8197.00,69
Ches Bonnell,UK,Manuka Honey Choco,,4221.00,395
Gigi Bohling,UK,70% Dark Bites,,840.00,81
Jehu Rudeforth,Australia,Peanut Butter Cubes,,5691.00,38
Marney O'Breen,India,Eclairs,,3472.00,96
Curtice Advani,Canada,Fruit & Nut Bars,2022-04-04,4193.00,195
Kaine Padly,UK,Smooth Sliky Salty,2022-08-06,9016.00,554
Karlen McCaffrey,Canada,Spicy Special Slims,2022-02-08,6328.00,47
Kelci Walkden,USA,Organic Choco Syrup,,9870.00,152
Curtice Advani,India,Spicy Special Slims,,161.00,134
Roddy Speechley,India,After Nines,,2576.00,112
Camilla Castle,Australia,Caramel Stuffed Bars,2022-02-05,3178.00,16
Curtice Advani,Australia,99% Dark & Pure,2022-07-01,4676.00,84
Mallorie Waber,UK,50% Dark Bites,,5502.00,99
Ches Bonnell,Canada,Baker's Choco Chips,,7462.00,371
Van Tuxwell,UK,Drinking Coco,2022-04-04,5803.00,136
Gunar Cockshoot,Canada,Fruit & Nut Bars,,13888.00,203
Gunar Cockshoot,New Zealand,Spicy Special Slims,,6867.00,183
Gunar Cockshoot,Australia,Drinking Coco,,2317.00,195
Karlen McCaffrey,New Zealand,Fruit & Nut Bars,2022-07-02,1218.00,135
Dennison Crosswaite,New Zealand,Drinking Coco,2022-11-01,4109.00,197
Jehu Rudeforth,India,99% Dark & Pure,,1953.00,242
Dotty Strutley,Australia,Mint Chip Choco,2022-01-08,6790.00,25
Roddy Speechley,Australia,Mint Chip Choco,2022-05-05,6797.00,252
Madelene Upcott,New Zealand,Raspberry Choco,,9226.00,415
Dotty Strutley,New Zealand,Choco Coated Almonds,2022-04-01,5733.00,348
Roddy Speechley,New Zealand,50% Dark Bites,2022-09-05,4312.00,211
Rafaelita Blaksland,India,Smooth Sliky Salty,2022-06-05,1638.00,81
Husein Augar,UK,White Choc,,10815.00,145
Roddy Speechley,Australia,Almond Choco,,4466.00,74
Van Tuxwell,USA,Caramel Stuffed Bars,,987.00,21
Camilla Castle,Australia,99% Dark & Pure,,4669.00,101
Kaine Padly,India,Milk Bars,2022-02-05,2905.00,91
Ches Bonnell,Australia,Smooth Sliky Salty,,7490.00,54
Mallorie Waber,USA,Almond Choco,,6986.00,368
Kaine Padly,Canada,99% Dark & Pure,,1288.00,409
Oby Sorrel,UK,After Nines,,2345.00,104
Gunar Cockshoot,UK,Eclairs,,3619.00,164
Dotty Strutley,USA,Caramel Stuffed Bars,,16982.00,76
Jan Morforth,India,Peanut Butter Cubes,2022-04-01,8092.00,178
Husein Augar,Australia,Eclairs,2022-04-07,6993.00,31
Beverie Moffet,USA,Smooth Sliky Salty,,2317.00,352
Camilla Castle,Australia,Manuka Honey Choco,,637.00,169
Oby Sorrel,Australia,Almond Choco,,6034.00,223
Jan Morforth,USA,Orange Choco,,980.00,146
Gigi Bohling,USA,Fruit & Nut Bars,,2821.00,112
Mallorie Waber,UK,Milk Bars,2022-10-01,3563.00,284
Curtice Advani,USA,Raspberry Choco,,2996.00,139
Marney O'Breen,Canada,Milk Bars,2022-08-02,2436.00,309
Brien Boise,India,Caramel Stuffed Bars,,1540.00,100
Gunar Cockshoot,USA,Eclairs,2022-03-05,6916.00,42
Roddy Speechley,USA,Fruit & Nut Bars,,5509.00,24
Gunar Cockshoot,India,50% Dark Bites,2022-09-08,12992.00,83
Wilone O'Kielt,New Zealand,Manuka Honey Choco,2022-11-07,3724.00,234
Kaine Padly,UK,Manuka Honey Choco,,7133.00,118
Van Tuxwell,Canada,Manuka Honey Choco,,8617.00,46
Wilone O'Kielt,New Zealand,Almond Choco,,9198.00,144
Oby Sorrel,New Zealand,Baker's Choco Chips,,11823.00,47
Dennison Crosswaite,Australia,Organic Choco Syrup,2022-10-05,5775.00,41
Marney O'Breen,Australia,Spicy Special Slims,,13125.00,275
Beverie Moffet,Canada,Smooth Sliky Salty,,14287.00,370
Brien Boise,USA,Organic Choco Syrup,,16233.00,138
Roddy Speechley,New Zealand,Baker's Choco Chips,,5313.00,215
Van Tuxwell,UK,85% Dark Bars,2022-11-07,3577.00,134
Marney O'Breen,Canada,Spicy Special Slims,2022-03-01,3528.00,336
Rafaelita Blaksland,New Zealand,70% Dark Bites,,679.00,280
Beverie Moffet,USA,50% Dark Bites,,2450.00,352
Brien Boise,USA,Mint Chip Choco,,10577.00,150
Karlen McCaffrey,New Zealand,Eclairs,2022-06-05,2597.00,177
Barr Faughny,India,Drinking Coco,,2219.00,142
Marney O'Breen,UK,Orange Choco,2022-06-06,11319.00,12
Brien Boise,New Zealand,Baker's Choco Chips,2022-12-07,5978.00,24
Ches Bonnell,Canada,Spicy Special Slims,2022-05-08,5327.00,183
Brien Boise,USA,Orange Choco,,6020.00,147
Kaine Padly,India,Spicy Special Slims,,5614.00,137
Mallorie Waber,USA,50% Dark Bites,,1736.00,13
Mallorie Waber,UK,Mint Chip Choco,,6384.00,2
Beverie Moffet,India,Choco Coated Almonds,,3577.00,261
Madelene Upcott,UK,Smooth Sliky Salty,2022-04-03,14539.00,84
Gigi Bohling,India,Eclairs,,3493.00,68
Rafaelita Blaksland,Australia,Organic Choco Syrup,,994.00,105
Oby Sorrel,New Zealand,White Choc,2022-10-06,4361.00,40
Andria Kimpton,UK,Drinking Coco,,1554.00,65
Kelci Walkden,India,Milk Bars,,966.00,107
Karlen McCaffrey,New Zealand,Caramel Stuffed Bars,,5334.00,227
Andria Kimpton,New Zealand,Organic Choco Syrup,2022-04-03,4935.00,39
Barr Faughny,New Zealand,After Nines,,10024.00,84
Beverie Moffet,UK,Almond Choco,,2506.00,100
Oby Sorrel,Australia,Raspberry Choco,,1043.00,120
Dennison Crosswaite,USA,Raspberry Choco,,6524.00,257
Roddy Speechley,Canada,Orange Choco,2022-09-02,8148.00,85
Mallorie Waber,Canada,Orange Choco,,3577.00,178
Madelene Upcott,New Zealand,Caramel Stuffed Bars,2022-01-02,3374.00,151
Mallorie Waber,India,Drinking Coco,2022-07-03,3948.00,142
Ches Bonnell,UK,White Choc,2022-03-01,3269.00,226
Ches Bonnell,USA,White Choc,2022-11-02,5271.00,341
Dennison Crosswaite,New Zealand,Orange Choco,,4571.00,140
Dotty Strutley,India,White Choc,,12327.00,330
Gigi Bohling,India,Manuka Honey Choco,2022-12-05,4935.00,73
